,company,location,dates,job-title,summary,pros,cons,advice-to-mgmt,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,link
0.420647218345474,apple,"New York, NY"," Aug 30, 2016",Current Employee - At-Home Advisor,"Lots of Pros, and a few big Cons",Best benefits I've ever had of any job. And perks out the wazoo. Work culture is very liberal and laid back. Pay is very competitive for the industry.,"With so many things right with this company, it's extremely disheartening that there are also so many things wrongs.  1) Little opportunity for upward movement - Apple REALLY likes to encourage its workers with promises of career advancement. Unfortunately, and not until recently, any and all movement I've encountered in the last year and a half has been lateral. The reason for this is due to Apple's outsourcing of advisors to 3rd party call centers or ""vendors"". For this reason, Apple is no longer opening up additional management positions, which has lowered the ceiling pretty dramatically. This is a huge disappointment for those of us who have at the ""Management"" carrot dangled on a stick in front of us for 2+ years.  2) Metrics-based performance measurements - One of the metrics by which advisors are measured is 'Issue Resolution."" After troubleshooting with Applecare, a customer gets a survey asking if their issue was resolved. If they answer 'yes,' this is good. If they answer 'no,' then the advisor is penalized. The problem I have with this, as a measured metric, stems from the fact that there is no expectation that all issues will be resolved by the end of the first call, before the survey is sent out.  So even on issues where the resolution is not 100% in control by the advisor, advisors are still graded on it. This means that if a hardware repair is needed, the call isn't resolved on the phone, and yet the advisor still gets a survey where they are held accountable for the resolution. If the customer has to stop troubleshooting and resume at a later time due to time constraints or a prior obligation, they'll get the survey, and may answer 'no' to the issue resolution question, and the advisor will be punished. Some tasks take a long time to complete over the phone, and customers are asked to call back after a specific step is completed. Once again, issue is not yet resolved, and yet the customer receives the survey asking this question.  I am of the opinion that if there is so much as an INKLING of a possibility that the issue not being fully resolved before the first call, due to factors outside of the advisors' control, then the advisor simply should not be graded on it. It makes as much sense as penalizing a baseball team for missing a game due to inclement weather.  Too frequently do circumstances outside of the advisors control govern an issue's resolution, and yet advisors are held accountable to these factors. This is wrong. This is unethical. And honestly, I feel that this runs counter to the culture Apple boasts. Any grievances aired to upper management about this are met with suggestions of mental gymnastics to try and essentially convince the customer to answer 'yes' to it, even if the issue is not resolved. No effort has been made to really address this as a valid issue, and I do not anticipate that this will change in the future. This is a fundamental flaw, and it's the only major, significant gripe I have about Apple policies and procedures, as a big company.  How this punishment affects the advisor is addressed in my next item:  3) Schedule picks - Advisors get a new schedule every 90 days. This is done through a process by which an advisor 'bids' on their preferred schedule, from a list of available schedules. The list of schedule picks available to the advisor is governed by their aforementioned metrics (including the dreaded Issue Resolution metric). Those with the poorest metrics (whether in their control or not) are often left to pick the 'scrap' (minus the 's') schedules from the bottom of the barrel, schedules that have the advisor working the entire weekend, working until nearly midnight every night, working on holidays, etc. Given the fact that the metrics on which we are measured that determine our 'place in line' for a schedule pick are not entirely within our ability to control, this inevitably screws with the home lives of a lot of advisors. I've heard of parents being unable to take or pick their children up from daycare because of this, people unable to attend church functions, celebrate holidays with their families, etc. And on some occasions, even glitches on the back end have stuck advisors with terrible schedules, without so much as a word from upper management on addressing it. And the ways in which the different senior area managers address these issues is extremely inconsistent, and would benefit from some calibration.  Apple is a large enough company, at this point, with a large-enough employee base that it could very easily assign workable, manageable schedules to every person in every timezone in such a way that it does not negatively affect their home lives, and still ensure that all customers are taken care of in a timely fashion. It's 100% plausible. And doing so would further promote the progressive culture that Apple loves to boast. But alas, they will do nothing of the sort.  4) The customers - As is the case with any customer service job, the most stressful part, day-to-day, is the customers. Angry customers who won't think rationally. Customers who simply want someone to get in trouble. Customers who blame Apple for their inability to function in a world full of modern technology. Customers who refuse to acknowledge user-error. And they take it out on you. Working this job has shown me the worst of the worst in people, and I know it's affected me in a very negative way (so much that I sought therapy from depression/emotional exhaustion because of it). This isn't Apple's fault, but people should still know what they're getting into.  5) You will work on major holidays. At least you will be scheduled, and expected to be in your seat ready to work, before they say ""Ok, you can leave,"" after the first few hours on the clock. Every single major holiday, advisors are required to work, and are often dismissed early due to low call volume. Of course I love being dismissed early on holidays. What I don't love is the inability to make plans with family for holidays due to the requirement of working, despite knowing I'll be dismissed early. Just let us off. Apple customers can go a day without someone to yell at when they don't know how to use their device. They'll live.  6) The resources given to advisors to utilize while troubleshooting are often insufficient, often nonfunctional and broken, and the fat is constantly being trimmed from them to make the advisors' jobs that much more difficult. Despite this, we are still held to the almighty metrics.  For some, these complaints may be relatively minor, but for me, after working here for 4 years, I'm left disenfranchised, and often uninterested, and certainly no longer passionate, about the work I'm putting in. I no longer look forward to working each day. At that same time, I feel trapped, because I know I won't find another job with benefits and compensation nearly as competitive as Apple's. I guess that's corporate work life for you. The level of effort I put into my work has lowered drastically, and with the punishments in place and the lack of incentives for hard work, I don't anticipate a shift toward the positive in the foreseeable future. The benefits and perks are phenomenal, but at a primal level, the things that affect you emotional, day in and day out, are what impact you the most, and Apple has lots of 'areas of opportunity' to improve upon.","It's time to dump the antiquated metrics-based performance measures, and implement something more in-line with Apple's progressive culture. Stop punishing advisors for factors that are out of their sphere of influence. Stop making promises of upward mobility where there is no upward mobility to be found.",3,3,3,1,5,1,13,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138_P370.htm
0.711328650307204,amazon,"Phoenix, AZ"," Nov 8, 2018",Current Employee - Shipping,Dock Worker,"Learn a lot of skills, experience with how a warehouse flows.","Not a lot of room for advancement, likely you will be working the same position for years.  Lots of favoritism.",none,4,3,1,2,3,2,0,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P27.htm
0.836277295326026,google,"Mountain View, CA"," May 30, 2009",Current Employee - Staff Software Engineer,Great place to work,"Overall good smart people working together in a very open atmosphere where information sharing is highly encouraged and easy to do. Very open communication from management compared to most companies. Best total compensation I've had at any company. Great fringe benefits like the free food, author talks, and political candidates dropping in.",If you like working in a very structured environment then you might not like it here.,Keep up the good work.,4,4,none,4,5,4,1,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P471.htm
0.238065572844887,apple,none," Mar 4, 2016",Former Employee - Anonymous Employee,HQ Mananager,The pay was adequate yet bothersome,"To many distractions,no communication",Keep your close and your enemies closer,3,3,3,3,3,3,0,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138_P489.htm
0.771360078418507,amazon,Bengaluru (India)," Jan 7, 2017",Former Employee - Catalog Associate,Catalog associate- 10months,Awesome working environment. Friendly Management.,"The profile which I had work has repetitive work, which you will feel bored if you are a person thirsting for more knowledge.",Nothing much as to say ! Awesome !,4,5,5,5,4,4,0,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P2317.htm
0.606653681089227,apple,"Dallas, TX"," Apr 2, 2015",Former Employee - Mac Genius,"Working for Apple was easily the best experience I've had working in retail, but it suffered from common retail problems","-The people you work with are typically all very nice, accepting, and open. -Many of the people you work with in the technical support side are knowledgeable and passionate about the job. -Many of the managers you work with are excellent and fair. Many care more about experience than metrics. -The company has excellent health benefits at an incredible price, as well as employee perks (such as product discounts, both maternal and paternal time off for new babies, adoption assistance, etc.) -The training course is very enjoyable and, for what it is, very insightful. -Most customers you get are actually very friendly. It is inevitable that you will get a frustrated customer (you are working support in retail), but they are typically few between. -There are plenty of opportunities to move upwards throughout the company, as long as you have management supporting you. Much more so than any other similar retail store. -Typically flexible on hours to accommodate school, children, etc.","-Poor management can honestly break the store. Caring more about metrics in a company that makes more money per square foot than any other company in the world is not the best. (including upper management) -You do occasionally get an employee that makes you wonder how they got the role they did since they don't know what they are doing. -The pay increase for promotions is pretty poor and management will not help you out with getting more fair increase (at least in my experience) -It got better the longer I was at the store, but management will bend over backwards to make a customer happy, even if they are in the wrong. It puts you in a bad place, making it seem like it doesn't matter when you tell a customer they have to pay for breaking their screen when they didn't buy warranty.","Be sure you pay your promoted employees well! The job is in retail, so there are aspects of it you cannot avoid, such as difficult customer interactions, but make sure you back up your employees and don't let the customer walk all over them (unless they were wrong). Lastly, for senior management, remember that you don't have to be competitive to Best Buy, or Micro Center, or any other electronics retailer because you aren't on the same level as them. Your employees and your customers expect more from the company and when the expectations aren't met, it's a disappointing experience.",4,4,5,4,5,3,1,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138_P674.htm
0.829349175077928,netflix,"Los Gatos, CA"," Nov 2, 2011",Former Employee - Senior Financial Analyst,Don't waste your time if you live in the Bay Area! There are better places to dedicate your time!,"Free snacks, nice office, pays well",Disgusting management! When you're in a small conference room making a personal call and your mgr is in the storage room listening to your phone call or following you everywhere you go! My manager said he was very happy with my performance after 3 months of hiring me. He just got too weird so I resigned. Then he pulled me aside to tell me that I wasn't smart to work for him! What a jerk! His ego was hurt bc he didnt get to fire me! The worst place to work! I'd rather get paid a little less to be in environment where you are valued for your hard work!,"Stop taking manager side! It's the worker bees that is keeping your business alive, not the management!",1,2,none,1,4,1,20,https://www.glassdoor.com/Reviews/Netflix-Reviews-E11891_P54.htm
0.835517740602682,microsoft,Paris (France)," Jul 12, 2017",Current Employee - Senior Sales Executive,Excellent but Challenged.,"Great ""challenging"" culture with extremely talented peers and colleagues. You will be pushed to perform the best that you can. Work life balance options are excellent with working from anywhere very common.",Still transforming and changing which causes a lot of unrest.,none,5,5,4,5,5,4,0,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651_P1370.htm
0.970136213311275,microsoft,"Redmond, WA"," Jan 23, 2013",Current Employee - Product Manager,"An odd mix of exhilarating, exciting, and intriguing experiences peppered with frustration by politics and bloated egos.","Wide range of interesting products to work on, lots of opportunity for real impact, plenty of smart people who fuel innovation.","Too big for its own good, opportunity for impact stifled by bureaucracy and politics, for every smart person... there are plenty of bullheaded, egotistical managers who think they've got it all figured out.",Get focused on what Microsoft really is about and align your teams so they're not all undermining each other.,4,3,4,4,5,3,1,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651_P964.htm
0.764479301359387,amazon,none," May 18, 2018",Current Employee - Anonymous Employee,Investigations Specialist,Great skills to use later on,Difficult content to learn in training,none,4,5,5,4,3,4,0,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P264.htm
0.263379216046582,apple,none," Mar 6, 2017",Current Employee - Anonymous Employee,Good retail job for personal growth,Diverse staff and shared mission. Lots of opportunity to geek out while truly helping customers. Many learning opportunities offered.,Retail employees don't share as much in the company's financial success. Can be difficult to advance. Some customers are unreasonably rude.,Don't forget QA and Customer Support while doubling down on Innovation.,4,4,5,3,3,4,0,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138_P280.htm
0.704826455794671,amazon,"Seattle, WA"," Feb 16, 2017",Current Employee - Executive Assistant,Stay away if you want a life outside of work,"They have great, current internal tools, efficient and helpful AV and if you want to get your hands into new product development across the company, it's available to you.","Expected to be online 24/7 and respond to text/emails/phone calls any time of the day or night. Cursed if you don't respond to the 1 am email by 8 am because they view everything as an emergency and cursed if you do respond right away, saying you need to get a life. No rewards/incentives for loyalty or meeting deadlines beyond a pizza thrown at the engineers, absolutely nothing for admin support at all. Job offers are given with sign-on bonuses with the agreement to not quit before first year or the bonus is paid back. Managers take advantage of this situation and treat staff like cogs in a machine. Expect to work on holidays, have vacation denied, told that they believe in people standing up for what they believe in and having work/life balance but then shooting all of that down the second a request or issue is brought up such as appropriate work balance or needing time off to take care of a sick family member. Parking is costly and the commute is brutal. If you have a manager from hell, they won't let you transfer internally without that manager's approval so you are stuck or have to resign.",none,2,1,1,2,5,1,9,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P883.htm
0.728445242136247,apple,"Toronto, ON (Canada)"," Oct 8, 2018",Current Employee - Retail Sales Associate,Providing best apple experience,"Best place to work,Great products ,Innovation to make lives healthier One solution for all customers need Apple Best in class industry",Growth in company is very less Opportunities are very less.,New roles and responsibilities,3,4,5,2,4,4,0,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138_P1026.htm
0.591104899270425,amazon,"Seattle, WA"," Mar 25, 2015",Current Employee - Research Scientist,Here are a lot of challenges from which one can learn a lot,"You can learn very fast here. The work pace is above average. One coworker told me ""working at Amazon for one year is similar to working in another company for two."" That is true!",Some people would say work life balance is a problem here. I personally have not felt that strongly. (I am not a workaholic.),"Amazon's business is still expanding fast, and the prospect is good. I really have no advice for its management. Maybe fostering a coherent culture is good for the company.",4,3,4,3,3,4,2,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P1459.htm
0.49259655938796,amazon,"Dallas, TX"," Nov 19, 2018",Current Employee - Client Lead Recruiter,Sr. Client Leqd/Recruiter,"Ownership, innovative company, diversity of the company business lines, Career growth.",Homegrown programs inside that sometimes take a bit of time to hone in on cutting edge for recruiting.,Keep doing an awesome job giving people growth and further career advancement opportunities.,5,4,5,5,4,5,0,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P15.htm
0.432000195067958,amazon,Chennai (India)," Jul 7, 2015",Current Employee - Software Development Engineer I,SDE,Good exposure to new emerging technologies & lots of learning,"Often time need to spend on migration, deprecation fixes",none,4,4,3,4,4,4,0,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P2488.htm
0.714877951807518,apple,none," Sep 7, 2016",Current Employee - Anonymous Employee,Good Company,"Dynamic programs keeps you on your toes all the time. There are waves where the work load is huge, but then there are respites as well.",Things do get crazy before ramp. You have to take work home and attend late night calls for around a month or so before launch.,none,5,2,4,3,4,2,0,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138_P372.htm
0.321146129367327,amazon,none," Jun 2, 2012",Current Employee - Area Manager,I am proud to be an Amazonian.,Amazon is a great company with an elite operations arm.,Shift life can be rough for individuals with families. You have little say in which shift you will be working and I have found a lack of a succession planning for the more desirable shifts.,More career development for junior managers.,4,2,5,3,5,4,1,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P2597.htm
0.838735043525759,google,none," Nov 7, 2018",Former Employee - Anonymous Employee,Great overall,"Great facilities, benefits and bright minds to work with",Nothing I can think of right now,none,5,none,none,none,none,none,0,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P498.htm
0.83766411314385,microsoft,"Seattle, WA"," Mar 16, 2014",Current Employee - Marketing Manager,Takes care of their employees,"MS takes care of its employees, and encourages you to move around to try different roles and teams. Benefits are great. You get a great sense of security at Microsoft.","If you want to make money, then Microsoft is not the right company. The pay is not as competitive as other well settled companies in the bay area. Sometimes you get frustrated thinking that MS is always catching up to competition.",Enable more innovation and agility.,4,3,3,3,3,3,0,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651_P813.htm
0.784064228201385,microsoft,"Redmond, WA"," Apr 27, 2012",Current Employee - Anonymous Employee,below average,Decent pay package and ok growth opportunities,"old school, slow decision making and limited growth opportunities",none,1,3.5,none,2.5,1.5,2.5,5,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651_P1038.htm
0.606373047417363,microsoft,"Redmond, WA"," Sep 23, 2010",Current Employee - Software Development Engineer,Good company overall,Energetic company to work for.,"Most strange thing is that:  People are valued not on what he is needed to do, rather his next level supposed to do (and measured by it some how). Essentially, you can do superb job on your duties, and you will never get rewarded.","need to have better long term vison, especially 3 to 5 years down the line.",4,4.5,none,3.5,4.5,3,0,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651_P1112.htm
0.761485614406744,apple,none," Aug 5, 2018",Former Employee - Technical Specialist,Awesome,"Great Working environment, good pay, and the workload is equally balanced.",Might take time to adjust as people as fast-paced and sometimes reluctant to involve you in a team.,Try Involve new hirings in your team and make them more comfortable,4,4,4,4,4,3,0,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138_P1034.htm
0.1789532094886,amazon,none," Apr 19, 2016",Former Employee - Anonymous Employee,Alle nett alles gut,Gutes Klima . Nette Kollegen und gutes Geld. Was soll ich noch Schreiben?,Kaum Aufstiegschancen. Kein hochschlafen. Zu viel Arbeit für zuwenig Geld.,none,4,3,3,3,3,3,0,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P2648.htm
0.830390928435458,microsoft,"Redmond, WA"," May 29, 2017",Current Employee - Software Engineer,Great place to work,Great company. Great benefits. Pay is in the top 10% of companies probably.,"Big company. You work in a narrowly focused area, as is the case with all big companies. It feels like things move slowly sometimes.",none,5,4,5,5,4,4,0,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651_P192.htm
0.006634734579842,amazon,none," Feb 28, 2018",Current Employee - Program Manager,It is What You Make It,"Amazon is a place that is what you make it. I've been working here for more than 3 years and definitely had roles that I didn't love or feel challenged, but I've also had roles where I love coming to work. I have always felt valued and if you're not happy, you can change it!  Good benefits - health, vacation, excellent maternity/paternity benefits, flexible working arrangement. RSUs and stock price is great.  Very self-service - if you are a self-starter you can do a lot here.","The environment isn't for everyone. If you need more structure, less ambiguity, or want a more top-down approach to your tasks, this might not be the place for you.  I know they are working on the promotion process, that would be my biggest con. Promotions are super time consuming for managers and so can be a pain, which can be a deterrent toward giving an employee a promotion.",none,4,4,4,4,4,4,0,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P358.htm
0.410313499613666,apple,"Cupertino, CA"," Feb 16, 2011",Former Employee - Anonymous Employee,Amazing.,The people are extremely intelligent AND down-to-earth. Very helpful and supportive atmosphere. Great personalities.,"Lean on the business side, so opportunities are hard to come by.",none,5,3.5,none,3,3.5,4,0,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138_P950.htm
0.160617863335734,amazon,"Seattle, WA"," Nov 4, 2016",Current Employee - CSA,Not a good training experience,It's a job to get back into the workforce,Not a place I'd consider long term employment at Training is unusually fast paced They throw you on the phone lines without any chance to do any stimulations,Stop rushing and expecting unrealistic results in very little time.,2,3,2,2,1,1,0,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P1000.htm
0.994274224352672,microsoft,"Redmond, WA"," Aug 29, 2009",Current Employee - Research Software Design Engineer,"Decent Place to work, but too much emphasis on seniority","Generally smart people, although not the smartest Excellent benefits Flexible hours, no micro-managements","Too much emphasis on seniority Some ""senior"" developers don't know basic things (like don't try to quicksort a linked list) Proper recognition is rarely given to new employees New employees often end up doing the ""grunt work"" even though they may be much more qualified than existing employees","If you hire someone smart, give them challenging work",3,3.5,none,4,4.5,2,0,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651_P1157.htm
